created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,mention_username
Fri May 12 06:24:17 +0000 2023,1656908132214538242,prabowo's pr team has learned a lot from Japan to erase crimes against humanity allegations with babyfication,7,14,90,832,en,182144342,1656908132214538242,letih_berlari,https://twitter.com/letih_berlari/status/1656908132214538242,,frank's ocean,
Tue Sep 06 02:27:00 +0000 2022,1566976228246310913,I heard the @GodHatesNFTees have awesome community  and the founder @SrPetersETH is very active in this space. 👀  How is my Gym Queen with Fiat sign? #GodHatesNFTees @SrPetersLAB https://t.co/7JP5ZO1fv0,2,95,113,214,en,213401246,1566976228246310913,Reilly_Prabowo,https://twitter.com/Reilly_Prabowo/status/1566976228246310913,https://pbs.twimg.com/media/Fb8EkJdaQAATx-K.jpg,Space,"GodHatesNFTees, SrPetersETH, SrPetersLAB"
Wed May 24 01:33:22 +0000 2023,1661183577034293250,Indonesian presidential hopeful Prabowo’s cute IG rebrand paying dividends (among people too young to remember him being accused of forced disappearances and crimes against humanity) https://t.co/wwE0o0VvMq,14,15,189,761,en,2484673278,1661183577034293250,maxwalden_,https://twitter.com/maxwalden_/status/1661183577034293250,https://pbs.twimg.com/media/Fw21p6CaMAAqrNa.jpg,,
Mon Aug 21 23:06:24 +0000 2023,1693761497569329288,JUST IN 🇮🇩🇺🇸:  Indonesia and Boeing signed an MoU on the procurement of 24 F-15EX Eagle II  The MoU was signed during Defence Minister Prabowo Subianto's visit to Boeing's F-15 production facility in St Louis  Missouri   📸@prabowo https://t.co/C0llMqWEEB,118,60,238,873,en,1123556466273570816,1693761497569329288,Jatosint,https://twitter.com/Jatosint/status/1693761497569329288,https://pbs.twimg.com/media/F4Fx-gFbkAIRL1N.jpg,Jakarta Capital Region,prabowo
Tue Jun 06 23:16:49 +0000 2023,1666222641026576384,@DFAT looked very uncomfortable when @DavidShoebridge raised the issues of a new Defence Cooperation Agreement with Indonesia and Defence Minister Prabowo Subianto's hideous human rights record at estimates last week. Not something they wanted to talk about. #FOIs lodged! #auspol https://t.co/n0qJcnfWl6,209,78,384,1244,en,926019424154349568,1666222641026576384,MrRexPatrick,https://twitter.com/MrRexPatrick/status/1666222641026576384,https://pbs.twimg.com/ext_tw_video_thumb/1666222541869060096/pu/img/-hlO4eORvrgd_d1r.jpg,"Adelaide, South Australia","DFAT, DavidShoebridge"
Tue Aug 22 01:22:06 +0000 2023,1693795647428714515,We're honored to host Indonesian Minister of Defense Prabowo Subianto on a tour of our F-15 production line in St. Louis.  Indonesia is an important partner and we are humbled that they have chosen F-15 to advance their capabilities for the future.  More: https://t.co/DEegc15qkw https://t.co/Hnz28Eoq0J,101,30,450,1362,en,25104363,1693795647428714515,BoeingDefense,https://twitter.com/BoeingDefense/status/1693795647428714515,https://pbs.twimg.com/ext_tw_video_thumb/1693795579615150080/pu/img/LkU5Ju5M6oIyjWsR.jpg,"Global [Arlington, VA]",
Sun Sep 03 03:29:07 +0000 2023,1698176267026374919,The slap-back by Indonesia and defence chief Prabowo against baldfaced US lying is even more stinging than at first glance.   Here's Southeast Asia's powerhouse  openly and bluntly calling out the depraved US regime on a diplomatic crime. The Americans tried to hijack Jakarta… https://t.co/kxHgAXlI74,13,30,120,423,en,1466703845141069826,1698176267026374919,thonwingp,https://twitter.com/thonwingp/status/1698176267026374919,https://pbs.twimg.com/media/F5EiULgboAAZ0rY.jpg,"Hong Kong, China",
Sun Nov 20 14:26:56 +0000 2022,1594336496106053633,Wheels down in 🇮🇩 Indonesia where I’ll meet with Defense Minister @prabowo and other senior leaders to discuss a range of security initiatives &amp; advance our shared vision of a #FreeandOpenIndoPacific https://t.co/dyxDAApgo8,34,127,233,1309,en,1338994562090602497,1594336496106053633,SecDef,https://twitter.com/SecDef/status/1594336496106053633,https://pbs.twimg.com/ext_tw_video_thumb/1594336351184457734/pu/img/La7DsJoi2FawrvK8.jpg,The Pentagon,prabowo
Tue Nov 14 03:04:58 +0000 2023,1724262114523844825,Taiwan aside  Asia will see another important leadership election next year -- in Indonesia.  The giant of Southeast Asia is the largest Muslim nation and 4th most populous in the world. It has the planet’s 7th-biggest economy.  The current frontrunner is Defense Minister Prabowo… https://t.co/3jPm57ZmZ9,5,58,86,382,en,1466703845141069826,1724262114523844825,thonwingp,https://twitter.com/thonwingp/status/1724262114523844825,https://pbs.twimg.com/media/F-3PN5DbAAAoj9r.jpg,"Hong Kong, China",
Mon Mar 07 12:27:14 +0000 2022,1500810304191705088,Upon the directions of HRH the Crown Prince  I met with  H.E the Indonesian Minister of Defense Prabowo Subianto to discuss ways to enhance military and defense cooperation between our two friendly countries  and review a number of global and regional issues of mutual interest. https://t.co/aDh8tMsWKK,11,99,250,767,en,975194850994851840,1500810304191705088,kbsalsaud,https://twitter.com/kbsalsaud/status/1500810304191705088,https://pbs.twimg.com/media/FNPzA2VXsAMt9N2.jpg,,
